1,2,3,4,5,6,7,8,9
x_player,x_player,x_player,x_player,x_player,x_player,x_player,x_player,x_player
y_player,y_player,y_player,y_player,y_player,y_player,y_player,y_player,y_player
xray_field,xray_field,xray_field,xray_field,xray_field,xray_field,xray_field,xray_field,xray_field
reg_field,reg_field,reg_field,reg_field,reg_field,reg_field,reg_field,reg_field,reg_field
1,2,3,4,5,6,7,8,9
x_player,x_player,x_player,x_player,x_player,x_player,x_player,x_player,x_player
y_player,y_player,y_player,y_player,y_player,y_player,y_player,y_player,y_player
xray_field,xray_field,xray_field,xray_field,xray_field,xray_field,xray_field,xray_field,xray_field
reg_field,reg_field,reg_field,reg_field,reg_field,reg_field,reg_field,reg_field,reg_field
1,2,3,4,5,6,7,8,9
x_player,x_player,0,x_player,x_player,x_player,x_player,x_player,x_player
y_player,y_player,0,y_player,y_player,y_player,y_player,y_player,y_player
